List of words in the text with their # of appearances followed by their respective frequency rank if they are top1000:

indoctus, 1 appearances, rank: ---
soleo, 1 appearances, rank: 246
strideo, 1 appearances, rank: ---
miser, 1 appearances, rank: 137
stipulo, 1 appearances, rank: ---
disperdo, 1 appearances, rank: ---
carmen, 5 appearances, rank: 254
damoetas, 19 appearances, rank: ---
uolo, 1 appearances, rank: ---
ergo, 1 appearances, rank: 134
inter, 2 appearances, rank: 64
nos, 5 appearances, rank: 51
quis, 5 appearances, rank: 212
possum, 3 appearances, rank: 23
uterque, 1 appearances, rank: 243
vicissim, 1 appearances, rank: ---
experior, 2 appearances, rank: 713
ego, 23 appearances, rank: 11
hic, 7 appearances, rank: 7
uitulam—ne, 1 appearances, rank: ---
fors, 1 appearances, rank: 993
recuso, 1 appearances, rank: ---
bis, 3 appearances, rank: ---
uenio, 3 appearances, rank: ---
ad, 5 appearances, rank: 14
mulctra, 1 appearances, rank: ---
bini, 1 appearances, rank: ---
alo, 1 appearances, rank: 817
uber, 2 appearances, rank: ---
fetus—, 1 appearances, rank: ---
depono, 2 appearances, rank: ---
tu, 16 appearances, rank: 9
dico, 6 appearances, rank: 33
cum, 8 appearances, rank: 10
ego, 23 appearances, rank: 11
quo, 3 appearances, rank: 305
pignus, 1 appearances, rank: ---
certo, 1 appearances, rank: 864
menalcas, 19 appearances, rank: ---
de, 1 appearances, rank: 46
grex, 1 appearances, rank: ---
non, 14 appearances, rank: 6
audeo, 2 appearances, rank: 270
quisquam, 3 appearances, rank: 280
depono, 2 appearances, rank: ---
cum, 8 appearances, rank: 10
tu, 16 appearances, rank: 9
sum, 21 appearances, rank: 2
ego, 23 appearances, rank: 11
namque, 2 appearances, rank: ---
domus, 1 appearances, rank: 73
pater, 1 appearances, rank: 71
sum, 21 appearances, rank: 2
iniustus, 1 appearances, rank: ---
noverca, 1 appearances, rank: ---
bis, 3 appearances, rank: ---
dies, 1 appearances, rank: 54
numero, 1 appearances, rank: ---
ambo, 1 appearances, rank: ---
pecus, 7 appearances, rank: 566
alter, 3 appearances, rank: 148
et, 28 appearances, rank: 1
haedus, 2 appearances, rank: ---
uerus, 2 appearances, rank: ---
is, 1 appearances, rank: 13
qui, 19 appearances, rank: 3
multus, 2 appearances, rank: 43
tueor, 2 appearances, rank: ---
ipse, 9 appearances, rank: 22
fateor, 2 appearances, rank: 689
magnus, 2 appearances, rank: 25
insanio, 1 appearances, rank: ---
libet, 1 appearances, rank: 729
quoniam, 1 appearances, rank: 510
tu, 16 appearances, rank: 9
poculum, 3 appearances, rank: ---
pono, 2 appearances, rank: 102
faginus, 1 appearances, rank: ---
caelo, 1 appearances, rank: ---
diuinus, 1 appearances, rank: ---
opus, 1 appearances, rank: 332
alcimedontis, 1 appearances, rank: ---
lentus, 2 appearances, rank: ---
qui, 19 appearances, rank: 3
torno, 1 appearances, rank: ---
facilis, 2 appearances, rank: 451
superaddo, 1 appearances, rank: ---
vita, 2 appearances, rank: 87
diffundo, 1 appearances, rank: ---
hedera, 1 appearances, rank: ---
vestio, 1 appearances, rank: ---
palleo, 1 appearances, rank: ---
corymbus, 1 appearances, rank: ---
in, 11 appearances, rank: 5
medium, 2 appearances, rank: ---
duo, 2 appearances, rank: 221
signum, 1 appearances, rank: 261
conus, 1 appearances, rank: ---
-ne, 8 appearances, rank: ---
et—quis, 1 appearances, rank: ---
sum, 21 appearances, rank: 2
alter, 3 appearances, rank: 148
describo, 1 appearances, rank: ---
radio, 1 appearances, rank: ---
totus, 1 appearances, rank: 78
qui, 19 appearances, rank: 3
gens, 1 appearances, rank: 194
orbis, 1 appearances, rank: 322
tempus, 2 appearances, rank: 89
qui, 19 appearances, rank: 3
messor, 1 appearances, rank: ---
qui, 19 appearances, rank: 3
curvus, 1 appearances, rank: ---
arator, 1 appearances, rank: ---
habeo, 3 appearances, rank: 39
necdum, 2 appearances, rank: ---
ille, 10 appearances, rank: 8
labrum, 2 appearances, rank: ---
admoveo, 2 appearances, rank: ---
sed, 3 appearances, rank: 20
condio, 2 appearances, rank: ---
seruus, 3 appearances, rank: ---
damoetas, 19 appearances, rank: ---
et, 28 appearances, rank: 1
nos, 5 appearances, rank: 51
idem, 3 appearances, rank: 59
alcimedo, 1 appearances, rank: ---
-ne, 8 appearances, rank: ---
duo, 2 appearances, rank: 221
poculum, 3 appearances, rank: ---
facio, 4 appearances, rank: 32
et, 28 appearances, rank: 1
mollis, 2 appearances, rank: 356
circum, 1 appearances, rank: ---
sum, 21 appearances, rank: 2
ansa, 1 appearances, rank: ---
amplector, 1 appearances, rank: ---
acanthus, 1 appearances, rank: ---
orpheaque, 1 appearances, rank: ---
in, 11 appearances, rank: 5
medium, 2 appearances, rank: ---
pono, 2 appearances, rank: 102
silva, 1 appearances, rank: 234
sequor, 2 appearances, rank: 108
necdum, 2 appearances, rank: ---
ille, 10 appearances, rank: 8
labrum, 2 appearances, rank: ---
admoveo, 2 appearances, rank: ---
sed, 3 appearances, rank: 20
condio, 2 appearances, rank: ---
seruus, 3 appearances, rank: ---
si, 6 appearances, rank: 16
ad, 5 appearances, rank: 14
vitula, 4 appearances, rank: ---
specto, 1 appearances, rank: 473
nihil, 1 appearances, rank: ---
sum, 21 appearances, rank: 2
qui, 19 appearances, rank: 3
poculum, 3 appearances, rank: ---
laus, 1 appearances, rank: 444
menalcas, 19 appearances, rank: ---
numquam, 1 appearances, rank: 251
hodie, 1 appearances, rank: 981
effugio, 1 appearances, rank: ---
uenia, 1 appearances, rank: ---
quicumque, 1 appearances, rank: 284
uoco, 1 appearances, rank: ---
audio, 1 appearances, rank: 165
hic, 7 appearances, rank: 7
tantum—uel, 1 appearances, rank: ---
qui, 19 appearances, rank: 3
uenio, 3 appearances, rank: ---
ecce, 1 appearances, rank: 643
palaemo, 4 appearances, rank: ---
-ne, 8 appearances, rank: ---
efficio, 1 appearances, rank: 573
posthac, 1 appearances, rank: ---
ne, 2 appearances, rank: 238
quisquam, 3 appearances, rank: 280
uox, 1 appearances, rank: ---
lacesso, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
quin, 1 appearances, rank: 456
ago, 1 appearances, rank: 69
si, 6 appearances, rank: 16
quis, 5 appearances, rank: 212
habeo, 3 appearances, rank: 39
in, 11 appearances, rank: 5
ego, 23 appearances, rank: 11
mora, 1 appearances, rank: 399
non, 14 appearances, rank: 6
sum, 21 appearances, rank: 2
ullus, 1 appearances, rank: 178
neque, 2 appearances, rank: 72
quisquam, 3 appearances, rank: 280
fugio, 3 appearances, rank: 177
tantus, 2 appearances, rank: 105
vinco, 1 appearances, rank: 101
palaemo, 4 appearances, rank: ---
-ne, 8 appearances, rank: ---
sensus, 1 appearances, rank: 793
hic, 7 appearances, rank: 7
imus, 1 appearances, rank: ---
res, 1 appearances, rank: 38
sum, 21 appearances, rank: 2
non, 14 appearances, rank: 6
paruus, 1 appearances, rank: ---
repono, 1 appearances, rank: ---
palaemo, 4 appearances, rank: ---
-ne, 8 appearances, rank: ---
dico, 6 appearances, rank: 33
quandoquidem, 1 appearances, rank: ---
in, 11 appearances, rank: 5
mollis, 2 appearances, rank: 356
consido, 1 appearances, rank: ---
herba, 2 appearances, rank: ---
et, 28 appearances, rank: 1
nunc, 6 appearances, rank: 50
omnis, 4 appearances, rank: 18
ager, 1 appearances, rank: 324
nunc, 6 appearances, rank: 50
omnis, 4 appearances, rank: 18
parturio, 1 appearances, rank: ---
arbor, 3 appearances, rank: 468
nunc, 6 appearances, rank: 50
frondeo, 1 appearances, rank: ---
silua, 1 appearances, rank: ---
nunc, 6 appearances, rank: 50
formosus, 1 appearances, rank: ---
annus, 1 appearances, rank: 167
incipio, 1 appearances, rank: 411
darmoeta, 1 appearances, rank: ---
tu, 16 appearances, rank: 9
deinde, 1 appearances, rank: ---
sequor, 2 appearances, rank: 108
menalca, 2 appearances, rank: ---
alternus, 2 appearances, rank: ---
dico, 6 appearances, rank: 33
amo, 6 appearances, rank: 219
alternus, 2 appearances, rank: ---
camenae, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
ab, 2 appearances, rank: ---
iuppiter, 2 appearances, rank: ---
principium, 1 appearances, rank: 948
musa, 1 appearances, rank: ---
iuppiter, 2 appearances, rank: ---
omnis, 4 appearances, rank: 18
plenus, 1 appearances, rank: 459
ille, 10 appearances, rank: 8
colo, 1 appearances, rank: 333
terra, 2 appearances, rank: 70
ille, 10 appearances, rank: 8
meus, 6 appearances, rank: 41
carmen, 5 appearances, rank: 254
cura, 1 appearances, rank: 186
menalcas, 19 appearances, rank: ---
et, 28 appearances, rank: 1
ego, 23 appearances, rank: 11
phoebus, 2 appearances, rank: ---
amo, 6 appearances, rank: 219
phoebus, 2 appearances, rank: ---
suus, 1 appearances, rank: 27
semper, 2 appearances, rank: 149
apud, 1 appearances, rank: 205
ego, 23 appearances, rank: 11
munus, 2 appearances, rank: 276
sum, 21 appearances, rank: 2
laurus, 1 appearances, rank: ---
et, 28 appearances, rank: 1
suauis, 1 appearances, rank: ---
rubeo, 1 appearances, rank: ---
hyacinthus, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
malus, 3 appearances, rank: 227
ego, 23 appearances, rank: 11
galatea, 2 appearances, rank: ---
peto, 2 appearances, rank: 83
lascivus, 1 appearances, rank: ---
puella, 1 appearances, rank: 233
et, 28 appearances, rank: 1
fugio, 3 appearances, rank: 177
ad, 5 appearances, rank: 14
salix, 2 appearances, rank: ---
et, 28 appearances, rank: 1
sui, 4 appearances, rank: 17
cupio, 1 appearances, rank: 441
ante, 2 appearances, rank: 112
uideo, 4 appearances, rank: ---
menalcas, 19 appearances, rank: ---
at, 1 appearances, rank: 74
ego, 23 appearances, rank: 11
sui, 4 appearances, rank: 17
offero, 1 appearances, rank: 812
ultro, 1 appearances, rank: ---
meus, 6 appearances, rank: 41
ignis, 1 appearances, rank: 151
amyntas, 2 appearances, rank: ---
nosco, 2 appearances, rank: 347
ut, 2 appearances, rank: ---
iam, 3 appearances, rank: 34
sum, 21 appearances, rank: 2
canis, 1 appearances, rank: 687
non, 14 appearances, rank: 6
de_-lio, 1 appearances, rank: ---
noster, 2 appearances, rank: 52
damoetas, 19 appearances, rank: ---
pario, 1 appearances, rank: 829
meus, 6 appearances, rank: 41
uenus, 1 appearances, rank: ---
sum, 21 appearances, rank: 2
munus, 2 appearances, rank: 276
namque, 2 appearances, rank: ---
noto, 1 appearances, rank: ---
ipse, 9 appearances, rank: 22
locus, 1 appearances, rank: 62
aëriae, 1 appearances, rank: ---
quo, 3 appearances, rank: 305
congero, 1 appearances, rank: ---
palumbis, 1 appearances, rank: ---
menalcas, 19 appearances, rank: ---
qui, 19 appearances, rank: 3
possum, 3 appearances, rank: 23
puer, 5 appearances, rank: 191
siluestri, 1 appearances, rank: ---
ex, 1 appearances, rank: ---
arbor, 3 appearances, rank: 468
lego, 2 appearances, rank: 419
aureus, 1 appearances, rank: 691
malus, 3 appearances, rank: 227
decem, 1 appearances, rank: 914
mitto, 3 appearances, rank: 114
creo, 1 appearances, rank: 978
alter, 3 appearances, rank: 148
mitto, 3 appearances, rank: 114
damoetas, 19 appearances, rank: ---
o, 3 appearances, rank: ---
quotiens, 1 appearances, rank: 970
et, 28 appearances, rank: 1
qui, 19 appearances, rank: 3
nos, 5 appearances, rank: 51
galatea, 2 appearances, rank: ---
loquor, 1 appearances, rank: 310
sum, 21 appearances, rank: 2
pars, 1 appearances, rank: 65
aliqui, 2 appearances, rank: ---
uentus, 2 appearances, rank: ---
deus, 1 appearances, rank: 42
refero, 1 appearances, rank: 171
ad, 5 appearances, rank: 14
auris, 1 appearances, rank: 366
menalcas, 19 appearances, rank: ---
quis, 5 appearances, rank: 212
prodo, 1 appearances, rank: 929
qui, 19 appearances, rank: 3
ego, 23 appearances, rank: 11
ipse, 9 appearances, rank: 22
animus, 1 appearances, rank: 40
non, 14 appearances, rank: 6
sperno, 1 appearances, rank: ---
amynta, 1 appearances, rank: ---
si, 6 appearances, rank: 16
dum, 2 appearances, rank: 103
tu, 16 appearances, rank: 9
sectaris, 1 appearances, rank: ---
aper, 1 appearances, rank: ---
ego, 23 appearances, rank: 11
rete, 1 appearances, rank: ---
seruus, 3 appearances, rank: ---
damoetas, 19 appearances, rank: ---
phyllida, 3 appearances, rank: ---
mitto, 3 appearances, rank: 114
ego, 23 appearances, rank: 11
meus, 6 appearances, rank: 41
sum, 21 appearances, rank: 2
natal, 1 appearances, rank: ---
iolla, 1 appearances, rank: ---
cum, 8 appearances, rank: 10
facio, 4 appearances, rank: 32
vitula, 4 appearances, rank: ---
pro, 1 appearances, rank: 128
frugis, 2 appearances, rank: ---
ipse, 9 appearances, rank: 22
venio, 1 appearances, rank: 63
menalcas, 19 appearances, rank: ---
phyllida, 3 appearances, rank: ---
amo, 6 appearances, rank: 219
ante, 2 appearances, rank: 112
alius, 1 appearances, rank: 37
nam, 1 appearances, rank: 61
ego, 23 appearances, rank: 11
discedo, 1 appearances, rank: 726
fleo, 1 appearances, rank: 457
et, 28 appearances, rank: 1
longus, 1 appearances, rank: 142
“formose, 1 appearances, rank: ---
ualeo, 1 appearances, rank: ---
uale”, 1 appearances, rank: ---
inquam, 1 appearances, rank: ---
“iolla”, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
tristis, 1 appearances, rank: 275
lupus, 1 appearances, rank: ---
stabulis, 1 appearances, rank: ---
maturus, 1 appearances, rank: ---
frugis, 2 appearances, rank: ---
imber, 1 appearances, rank: ---
arbor, 3 appearances, rank: 468
uentus, 2 appearances, rank: ---
nos, 5 appearances, rank: 51
amaryllidis, 1 appearances, rank: ---
ira, 1 appearances, rank: 187
menalcas, 19 appearances, rank: ---
dulcis, 2 appearances, rank: 383
satis, 2 appearances, rank: ---
umor, 1 appearances, rank: ---
depello, 1 appearances, rank: ---
arbutus, 1 appearances, rank: ---
haedus, 2 appearances, rank: ---
lentus, 2 appearances, rank: ---
salix, 2 appearances, rank: ---
fetus, 1 appearances, rank: ---
pecus, 7 appearances, rank: 566
ego, 23 appearances, rank: 11
solus, 2 appearances, rank: 176
amyntas, 2 appearances, rank: ---
damoetas, 19 appearances, rank: ---
pollio, 3 appearances, rank: ---
amo, 6 appearances, rank: 219
noster, 2 appearances, rank: 52
quamuis, 1 appearances, rank: ---
sum, 21 appearances, rank: 2
rusticus, 1 appearances, rank: ---
musam, 1 appearances, rank: ---
pierides, 1 appearances, rank: ---
vitula, 4 appearances, rank: ---
lector, 1 appearances, rank: ---
pasco, 3 appearances, rank: ---
uester, 1 appearances, rank: ---
menalcas, 19 appearances, rank: ---
pollio, 3 appearances, rank: ---
et, 28 appearances, rank: 1
ipse, 9 appearances, rank: 22
facio, 4 appearances, rank: 32
nouus, 1 appearances, rank: ---
carmen, 5 appearances, rank: 254
pasco, 3 appearances, rank: ---
taurus, 2 appearances, rank: ---
iam, 3 appearances, rank: 34
cornu, 1 appearances, rank: 591
peto, 2 appearances, rank: 83
et, 28 appearances, rank: 1
pes, 1 appearances, rank: 199
qui, 19 appearances, rank: 3
spargo, 1 appearances, rank: 532
harena, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
qui, 19 appearances, rank: 3
tu, 16 appearances, rank: 9
pollio, 3 appearances, rank: ---
amo, 6 appearances, rank: 219
uenio, 3 appearances, rank: ---
quo, 3 appearances, rank: 305
tu, 16 appearances, rank: 9
quoque, 1 appearances, rank: 76
gaudeo, 1 appearances, rank: 407
mel, 1 appearances, rank: ---
fluo, 1 appearances, rank: 772
ille, 10 appearances, rank: 8
fero, 1 appearances, rank: 45
et, 28 appearances, rank: 1
